!SIL 1.0	sil
węglowodanowy 1.0	v en g l o v o d a n o* v I
węglowodany 1.0	v e n g l o v o d a* n I
węglowodany 1.0	v en g l o v o d a* n I
węglowy 1.0	v e n g l o* v I
węglowy 1.0	v en g l o* v I
węglową 1.0	v e n g l o* v o m
węglową 1.0	v e n g l o* v on
węglową 1.0	v en g l o* v o m
węglową 1.0	v en g l o* v on
węgrami 1.0	v e n g r a* m i
węgrami 1.0	v en g r a* m i
węgrom 1.0	v en* g r o m
węgry 1.0	v en* g r I
węgrzech 1.0	v en* g Z e x
węgrzy 1.0	v en* g Z I
węgrów 1.0	v en* g r u f
węgrów 1.0	v en* g r u v
węzeł 1.0	v en* z e w
węzła 1.0	v en* z w a
węzłem 1.0	v en* z w e m
węzły 1.0	v en* z w I
węzłów 1.0	v en* z w u f
węzłów 1.0	v en* z w u v
węża 1.0	v en* Z a
wężami 1.0	v e n Z a* m i
wężami 1.0	v en Z a* m i
węże 1.0	v en* Z e
wężowata 1.0	v e n Z o v a* t a
wężowata 1.0	v en Z o v a* t a
węższe 1.0	v en* S S e
węższe 1.0	v en* Z S e
węższy 1.0	v en* S S I
węższy 1.0	v en* Z S I
włada 1.0	v w a* d a
władające 1.0	v w a d a j on* ts e
władanie 1.0	v w a d a* ni e
władać 1.0	v w a* d a tsi
władał 1.0	v w a* d a w
władca 1.0	v w a* d ts a
władca 1.0	v w a* t ts a
władcom 1.0	v w a* d ts o m
władcom 1.0	v w a* t ts o m
władcy 1.0	v w a* d ts I
władcy 1.0	v w a* t ts I
władcza 1.0	v w a* d tS a
władcza 1.0	v w a* t tS a
władczy 1.0	v w a* d tS I
władczy 1.0	v w a* t tS I
władczym 1.0	v w a* d tS I m
władczym 1.0	v w a* t tS I m
władczyni 1.0	v w a d tS I* ni i
władczyni 1.0	v w a t tS I* ni i
władców 1.0	v w a* d ts u f
władców 1.0	v w a* d ts u v
władców 1.0	v w a* t ts u f
władców 1.0	v w a* t ts u v
władcą 1.0	v w a* d ts o m
władcą 1.0	v w a* d ts on
władcą 1.0	v w a* t ts o m
władcą 1.0	v w a* t ts on
władcę 1.0	v w a* d ts e
władcę 1.0	v w a* d ts en
władcę 1.0	v w a* t ts e
władcę 1.0	v w a* t ts en
władimir 1.0	v w a d i* m i r
władimira 1.0	v w a d i m i* r a
władysław 1.0	v w a d I* s w a f
władysław 1.0	v w a d I* s w a v
władysława 1.0	v w a d I s w a* v a
władysławowi 1.0	v w a d I s w a v o* v i
władz 1.0	v w a* dz
władz 1.0	v w a* ts
władza 1.0	v w a* dz a
władzach 1.0	v w a* dz a x
władzami 1.0	v w a dz a* m i
władze 1.0	v w a* dz e
władzom 1.0	v w a* dz o m
władztwo 1.0	v w a* dz t f o
władztwo 1.0	v w a* ts t f o
władzy 1.0	v w a* dz I
władzą 1.0	v w a* dz o m
władzą 1.0	v w a* dz on
władzę 1.0	v w a* dz e
władzę 1.0	v w a* dz en
włamuje 1.0	v w a m u* j e
włamywacza 1.0	v w a m I v a* tS a
włamywacze 1.0	v w a m I v a* tS e
własna 1.0	v w a* s n a
własne 1.0	v w a* s n e
własnego 1.0	v w a s n e* g o
własnej 1.0	v w a* s n e j
własnemu 1.0	v w a s n e* m u
własnoręcznie 1.0	v w a s n o r en* tS ni e
własnowolnie 1.0	v w a s n o v o* l ni e
własności 1.0	v w a s n o* si tsi i
własnościowe 1.0	v w a s n o si tsi i* o* v e
własnościowych 1.0	v w a s n o si tsi i* o* v I x
własnością 1.0	v w a s n o* si tsi o m
własnością 1.0	v w a s n o* si tsi on
własność 1.0	v w a* s n o si tsi
własny 1.0	v w a* s n I
własnych 1.0	v w a* s n I x
własnym 1.0	v w a* s n I m
własnymi 1.0	v w a s n I* m i
własną 1.0	v w a* s n o m
własną 1.0	v w a* s n on
właz 1.0	v w a* s
właz 1.0	v w a* z
włazach 1.0	v w a* z a x
właściciel 1.0	v w a si tsi i* tsi e l
właściciela 1.0	v w a si tsi i tsi i* e* l a
właścicielce 1.0	v w a si tsi i tsi i* e* l ts e
właściciele 1.0	v w a si tsi i tsi i* e* l e
właścicielem 1.0	v w a si tsi i tsi i* e* l e m
właścicieli 1.0	v w a si tsi i tsi i* e* l i
właścicielka 1.0	v w a si tsi i tsi i* e* l k a
właścicielom 1.0	v w a si tsi i tsi i* e* l o m
właścicielowi 1.0	v w a si tsi i tsi e l o* v i
właścicielskiego 1.0	v w a si tsi i tsi e l s k i* e* g o
właścicielskim 1.0	v w a si tsi i tsi i* e* l s k i m
właściwa 1.0	v w a si tsi i* v a
właściwe 1.0	v w a si tsi i* v e
właściwego 1.0	v w a si tsi i v e* g o
właściwej 1.0	v w a si tsi i* v e j
właściwie 1.0	v w a si tsi i* v j e
właściwości 1.0	v w a si tsi i v o* si tsi i
właściwościami 1.0	v w a si tsi i v o si tsi i* a* m i
właściwością 1.0	v w a si tsi i v o* si tsi o m
właściwością 1.0	v w a si tsi i v o* si tsi on
właściwsze 1.0	v w a si tsi i* f S e
właściwsze 1.0	v w a si tsi i* v S e
właściwy 1.0	v w a si tsi i* v I
właściwych 1.0	v w a si tsi i* v I x
właściwym 1.0	v w a si tsi i* v I m
właściwymi 1.0	v w a si tsi i v I* m i
właściwą 1.0	v w a si tsi i* v o m
właściwą 1.0	v w a si tsi i* v on
właśnie 1.0	v w a* si ni e
włażą 1.0	v w a* Z o m
włażą 1.0	v w a* Z on
włoch 1.0	v w o* x
włocha 1.0	v w o* x a
włochy 1.0	v w o* x I
włochów 1.0	v w o* x u f
włochów 1.0	v w o* x u v
włocławekgdynia 1.0	v w o ts w a v e g g d I* ni a
włocławekgdynia 1.0	v w o ts w a v e k g d I* ni a
włocławian 1.0	v w o ts w a* v j a n
włocławka 1.0	v w o ts w a* f k a
włocławka 1.0	v w o ts w a* v k a
włocławku 1.0	v w o ts w a* f k u
włocławku 1.0	v w o ts w a* v k u
włodarzami 1.0	v w o d a Z a* m i
włodawskie 1.0	v w o d a* f s k j e
włodawskie 1.0	v w o d a* v s k j e
włodkowica 1.0	v w o d k o v i* ts a
włodkowica 1.0	v w o t k o v i* ts a
włodzimierz 1.0	v w o dzi i* m j e S
włodzimierz 1.0	v w o dzi i* m j e Z
włodzimierza 1.0	v w o dzi i m i* e* Z a
włos 1.0	v w o* s
włosa 1.0	v w o* s a
włosach 1.0	v w o* s a x
włosami 1.0	v w o s a* m i
włoscy 1.0	v w o* s ts I
włosi 1.0	v w o* si i
włosie 1.0	v w o* si e
włoska 1.0	v w o* s k a
włoski 1.0	v w o* s k i
włoskich 1.0	v w o* s k i x
włoskiego 1.0	v w o s k i* e* g o
włoskiej 1.0	v w o* s k j e j
włoskim 1.0	v w o* s k i m
włoską 1.0	v w o* s k o m
włoską 1.0	v w o* s k on
włosy 1.0	v w o* s I
włoszech 1.0	v w o* S e x
włoszek 1.0	v w o* S e k
włoszka 1.0	v w o* S k a
włosów 1.0	v w o* s u f
włosów 1.0	v w o* s u v
włości 1.0	v w o* si tsi i
włościach 1.0	v w o* si tsi a x
włożyć 1.0	v w o* Z I tsi
włożył 1.0	v w o* Z I w
włożyłem 1.0	v w o Z I* w e m
włożę 1.0	v w o* Z e
włożę 1.0	v w o* Z en
włóczni 1.0	v w u* tS ni i
włócznie 1.0	v w u* tS ni e
włóczęga 1.0	v w u tS en* g a
włóczęgi 1.0	v w u tS en* g i
włóczęgów 1.0	v w u tS en* g u f
włóczęgów 1.0	v w u tS en* g u v
włókien 1.0	v w u* k j e n
włókienka 1.0	v w u k i* e* n k a
włókna 1.0	v w u* k n a
włącza 1.0	v w on* tS a
włączaj 1.0	v w on* tS a j
włączając 1.0	v w o n tS a* j o n ts
włączając 1.0	v w o n tS a* j on ts
włączając 1.0	v w on tS a* j o n ts
włączając 1.0	v w on tS a* j on ts
włączam 1.0	v w on* tS a m
włączania 1.0	v w o n tS a* ni a
włączania 1.0	v w on tS a* ni a
włączać 1.0	v w on* tS a tsi
włączenie 1.0	v w o n tS e* ni e
włączenie 1.0	v w on tS e* ni e
włączeniem 1.0	v w o n tS e* ni e m
włączeniem 1.0	v w on tS e* ni e m
włącznie 1.0	v w on* tS ni e
włączona 1.0	v w o n tS o* n a
włączona 1.0	v w on tS o* n a
włączonej 1.0	v w o n tS o* n e j
włączonej 1.0	v w on tS o* n e j
włączony 1.0	v w o n tS o* n I
włączony 1.0	v w on tS o* n I
włączy 1.0	v w on* tS I
włączyli 1.0	v w o n tS I* l i
włączyli 1.0	v w on tS I* l i
włączyć 1.0	v w on* tS I tsi
włączył 1.0	v w on* tS I w
włączyła 1.0	v w o n tS I* w a
włączyła 1.0	v w on tS I* w a
włączyłem 1.0	v w o n tS I* w e m
włączyłem 1.0	v w on tS I* w e m
wścibskich 1.0	f si tsi i* b s k i x
wścibskich 1.0	f si tsi i* p s k i x
wścibską 1.0	f si tsi i* b s k o m
wścibską 1.0	f si tsi i* b s k on
wścibską 1.0	f si tsi i* p s k o m
wścibską 1.0	f si tsi i* p s k on
wściekle 1.0	f si tsi i* e* k l e
wścieklizną 1.0	f si tsi e k l i* z n o m
wścieklizną 1.0	f si tsi e k l i* z n on
wściekliznę 1.0	f si tsi e k l i* z n e
wściekliznę 1.0	f si tsi e k l i* z n en
wściekliźnie 1.0	f si tsi e k l i* zi ni e
wściekła 1.0	f si tsi i* e* k w a
wściekłe 1.0	f si tsi i* e* k w e
wściekłości 1.0	f si tsi e k w o* si tsi i
wściekłością 1.0	f si tsi e k w o* si tsi o m
wściekłością 1.0	f si tsi e k w o* si tsi on
wściekłość 1.0	f si tsi i* e* k w o si tsi
wściekły 1.0	f si tsi i* e* k w I
wściekłym 1.0	f si tsi i* e* k w I m
wślizgnęli 1.0	f si l i z g n en* l i
wślizguje 1.0	f si l i z g u* j e
wśrod 1.0	f si r o* d
wśrod 1.0	f si r o* t
wśród 1.0	f si r u* d
wśród 1.0	f si r u* t
y 1.0	I*
z 1.0	s
z 1.0	z
za 1.0	z a*
zaabsorbowania 1.0	z a a b s o r b o v a* ni a
zaabsorbowania 1.0	z a a p s o r b o v a* ni a
zaadaptowanej 1.0	z a a d a p t o v a* n e j
zaadaptowanych 1.0	z a a d a p t o v a* n I x
zaakceptowana 1.0	z a a k ts e p t o v a* n a
zaakceptowane 1.0	z a a k ts e p t o v a* n e
zaakceptowani 1.0	z a a k ts e p t o v a* ni i
zaakceptowania 1.0	z a a k ts e p t o v a* ni a
zaakceptowaniem 1.0	z a a k ts e p t o v a* ni e m
zaakceptowaniu 1.0	z a a k ts e p t o v a* ni u
zaakceptowany 1.0	z a a k ts e p t o v a* n I
zaakceptować 1.0	z a a k ts e p t o* v a tsi
zaakceptował 1.0	z a a k ts e p t o* v a w
zaakceptuje 1.0	z a a k ts e p t u* j e
zaakceptuję 1.0	z a a k ts e p t u* j e
zaakceptuję 1.0	z a a k ts e p t u* j en
zaambarasowani 1.0	z a a m b a r a s o v a* ni i
zaangażowana 1.0	z a a n g a Z o v a* n a
zaangażowania 1.0	z a a n g a Z o v a* ni a
zaangażowanie 1.0	z a a n g a Z o v a* ni e
zaangażowany 1.0	z a a n g a Z o v a* n I
zaangażowanych 1.0	z a a n g a Z o v a* n I x
zaangażowanym 1.0	z a a n g a Z o v a* n I m
zaangażować 1.0	z a a n g a Z o* v a tsi
zaanonsować 1.0	z a a n o n s o* v a tsi
zaapelował 1.0	z a a p e l o* v a w
zaaprobować 1.0	z a a p r o b o* v a tsi
zaatakowali 1.0	z a a t a k o v a* l i
zaatakowane 1.0	z a a t a k o v a* n e
zaatakowanego 1.0	z a a t a k o v a n e* g o
zaatakowania 1.0	z a a t a k o v a* ni a
zaatakowaniu 1.0	z a a t a k o v a* ni u
zaatakował 1.0	z a a t a k o* v a w
zaatakowała 1.0	z a a t a k o v a* w a
zaatakowałem 1.0	z a a t a k o v a* w e m
zaatakowało 1.0	z a a t a k o v a* w o
zaatakowały 1.0	z a a t a k o v a* w I
zaawansowane 1.0	z a a v a n s o v a* n e
zaawansowanego 1.0	z a a v a n s o v a n e* g o
zaawansowanej 1.0	z a a v a n s o v a* n e j
zaawansowania 1.0	z a a v a n s o v a* ni a
zaawansowanie 1.0	z a a v a n s o v a* ni e
zaawansowany 1.0	z a a v a n s o v a* n I
zaawansowanych 1.0	z a a v a n s o v a* n I x
zabagnienia 1.0	z a b a g ni i* e* ni a
zabarwiają 1.0	z a b a r v i* a* j o m
zabarwiają 1.0	z a b a r v i* a* j on
zabarwienia 1.0	z a b a r v i* e* ni a
zabarwione 1.0	z a b a r v i* o* n e
zabaw 1.0	z a* b a f
zabaw 1.0	z a* b a v
zabawa 1.0	z a b a* v a
zabaweczkę 1.0	z a b a v e* tS k e
zabaweczkę 1.0	z a b a v e* tS k en
zabawek 1.0	z a b a* v e k
zabawiali 1.0	z a b a v i* a* l i
zabawie 1.0	z a b a* v j e
zabawkach 1.0	z a b a* f k a x
zabawkach 1.0	z a b a* v k a x
zabawki 1.0	z a b a* f k i
zabawki 1.0	z a b a* v k i
zabawkowe 1.0	z a b a f k o* v e
zabawkowe 1.0	z a b a v k o* v e
zabawkę 1.0	z a b a* f k e
zabawkę 1.0	z a b a* f k en
zabawkę 1.0	z a b a* v k e
zabawkę 1.0	z a b a* v k en
zabawna 1.0	z a b a* v n a
zabawne 1.0	z a b a* v n e
zabawnie 1.0	z a b a* v ni e
zabawny 1.0	z a b a* v n I
zabawną 1.0	z a b a* v n o m
zabawną 1.0	z a b a* v n on
zabawy 1.0	z a b a* v I
zabawę 1.0	z a b a* v e
zabawę 1.0	z a b a* v en
zabetonowano 1.0	z a b e t o n o v a* n o
zabetonować 1.0	z a b e t o n o* v a tsi
zabezpieczającej 1.0	z a b e s p j e tS a j on* ts e j
zabezpieczającej 1.0	z a b e z p j e tS a j on* ts e j
zabezpieczający 1.0	z a b e s p j e tS a j on* ts I
zabezpieczający 1.0	z a b e z p j e tS a j on* ts I
zabezpieczających 1.0	z a b e s p j e tS a j on* ts I x
zabezpieczających 1.0	z a b e z p j e tS a j on* ts I x
zabezpieczali 1.0	z a b e s p j e tS a* l i
zabezpieczali 1.0	z a b e z p j e tS a* l i
zabezpieczać 1.0	z a b e s p i* e* tS a tsi
zabezpieczać 1.0	z a b e z p i* e* tS a tsi
zabezpieczały 1.0	z a b e s p j e tS a* w I
zabezpieczały 1.0	z a b e z p j e tS a* w I
zabezpieczenia 1.0	z a b e s p j e tS e* ni a
zabezpieczenia 1.0	z a b e z p j e tS e* ni a
zabezpieczenie 1.0	z a b e s p j e tS e* ni e
zabezpieczenie 1.0	z a b e z p j e tS e* ni e
zabezpieczeniem 1.0	z a b e s p j e tS e* ni e m
zabezpieczeniem 1.0	z a b e z p j e tS e* ni e m
zabezpieczeń 1.0	z a b e s p i* e* tS e ni
zabezpieczeń 1.0	z a b e z p i* e* tS e ni
zabezpieczona 1.0	z a b e s p j e tS o* n a
zabezpieczona 1.0	z a b e z p j e tS o* n a
zabezpieczono 1.0	z a b e s p j e tS o* n o
zabezpieczono 1.0	z a b e z p j e tS o* n o
zabezpieczony 1.0	z a b e s p j e tS o* n I
zabezpieczony 1.0	z a b e z p j e tS o* n I
zabezpieczyć 1.0	z a b e s p i* e* tS I tsi
zabezpieczyć 1.0	z a b e z p i* e* tS I tsi
zabezpieczyła 1.0	z a b e s p j e tS I* w a
zabezpieczyła 1.0	z a b e z p j e tS I* w a
zabezpieczyłby 1.0	z a b e s p i* e* tS I w b I
zabezpieczyłby 1.0	z a b e z p i* e* tS I w b I
zabici 1.0	z a b i* tsi i
zabicia 1.0	z a b i* tsi a
zabieg 1.0	z a* b j e g
zabieg 1.0	z a* b j e k
zabiega 1.0	z a b i* e* g a
zabiegają 1.0	z a b j e g a* j o m
zabiegają 1.0	z a b j e g a* j on
zabiegali 1.0	z a b j e g a* l i
zabiegani 1.0	z a b j e g a* ni i
zabiegany 1.0	z a b j e g a* n I
zabiegać 1.0	z a b i* e* g a tsi
zabiegał 1.0	z a b i* e* g a w
zabiegało 1.0	z a b j e g a* w o
zabiegu 1.0	z a b i* e* g u
zabiegów 1.0	z a b i* e* g u f
zabiegów 1.0	z a b i* e* g u v
zabiera 1.0	z a b i* e* r a
zabierajcie 1.0	z a b j e r a* j tsi e
zabierają 1.0	z a b j e r a* j o m
zabierają 1.0	z a b j e r a* j on
zabierając 1.0	z a b j e r a* j o n ts
zabierając 1.0	z a b j e r a* j on ts
zabierali 1.0	z a b j e r a* l i
zabierania 1.0	z a b j e r a* ni a
zabieranie 1.0	z a b j e r a* ni e
zabierać 1.0	z a b i* e* r a tsi
zabierała 1.0	z a b j e r a* w a
zabierałem 1.0	z a b j e r a* w e m
zabierało 1.0	z a b j e r a* w o
zabierz 1.0	z a* b j e S
zabierz 1.0	z a* b j e Z
zabierzcie 1.0	z a b i* e* S tsi e
zabierzcie 1.0	z a b i* e* Z tsi e
zabierzowa 1.0	z a b j e Z o* v a
zabija 1.0	z a b i* j a
zabijają 1.0	z a b i j a* j o m
zabijają 1.0	z a b i j a* j on
zabijając 1.0	z a b i j a* j o n ts
zabijając 1.0	z a b i j a* j on ts
zabijających 1.0	z a b i j a j on* ts I x
zabijania 1.0	z a b i j a* ni a
zabijanie 1.0	z a b i j a* ni e
zabijasz 1.0	z a b i* j a S
zabijać 1.0	z a b i* j a tsi
zabije 1.0	z a b i* j e
zabiją 1.0	z a b i* j o m
zabiją 1.0	z a b i* j on
zabiję 1.0	z a b i* j e
zabiję 1.0	z a b i* j en
zabili 1.0	z a b i* l i
zabiliby 1.0	z a b i* l i b I
zabiliście 1.0	z a b i* l i si tsi e
zabiliśmy 1.0	z a b i* l i si m I
zabiorą 1.0	z a b i* o* r o m
zabiorą 1.0	z a b i* o* r on
zabitego 1.0	z a b i t e* g o
zabitych 1.0	z a b i* t I x
zabić 1.0	z a* b i tsi
zabił 1.0	z a* b i w
zabiła 1.0	z a b i* w a
zabiłem 1.0	z a b i* w e m
zabiło 1.0	z a b i* w o
zablokowanie 1.0	z a b l o k o v a* ni e
zablokowany 1.0	z a b l o k o v a* n I
zablokowanych 1.0	z a b l o k o v a* n I x
zablokowanym 1.0	z a b l o k o v a* n I m
zablokować 1.0	z a b l o k o* v a tsi
zablokował 1.0	z a b l o k o* v a w
zablokowała 1.0	z a b l o k o v a* w a
zabobonną 1.0	z a b o b o* n n o m
zabobonną 1.0	z a b o b o* n n on
zaborczego 1.0	z a b o r tS e* g o
zaborczej 1.0	z a b o* r tS e j
zaborczości 1.0	z a b o r tS o* si tsi i
zaborczy 1.0	z a b o* r tS I
zabraknie 1.0	z a b r a* k ni e
zabraknąć 1.0	z a b r a* k n o ni tsi
zabraknąć 1.0	z a b r a* k n on tsi
zabrakło 1.0	z a b r a* k w o
zabrali 1.0	z a b r a* l i
zabrania 1.0	z a b r a* ni a
zabraniają 1.0	z a b r a ni i* a* j o m
zabraniają 1.0	z a b r a ni i* a* j on
zabraniano 1.0	z a b r a ni i* a* n o
zabraniać 1.0	z a b r a* ni a tsi
zabraniał 1.0	z a b r a* ni a w
zabrano 1.0	z a b r a* n o
zabrany 1.0	z a b r a* n I
zabrać 1.0	z a* b r a tsi
zabrał 1.0	z a* b r a w
zabrałam 1.0	z a b r a* w a m
zabrało 1.0	z a b r a* w o
zabrnięto 1.0	z a b r ni i* en* t o
zabrnąłem 1.0	z a b r n on* w e m
zabronione 1.0	z a b r o ni i* o* n e
zabronionej 1.0	z a b r o ni i* o* n e j
zabronić 1.0	z a b r o* ni i tsi
zabroniły 1.0	z a b r o ni i* w I
zabrzańskie 1.0	z a b Z a* ni s k j e
zabrzańskiej 1.0	z a b Z a* ni s k j e j
zabrzańskim 1.0	z a b Z a* ni s k i m
zabrze 1.0	z a* b Z e
zabrzmi 1.0	z a* b S m i
zabrzmi 1.0	z a* b Z m i
zabrzmi 1.0	z a* p S m i
zabrzmiał 1.0	z a* b S m j a w
zabrzmiał 1.0	z a* b Z m j a w
zabrzmiał 1.0	z a* p S m j a w
zabrzmiały 1.0	z a b S m i* a* w I
zabrzmiały 1.0	z a b Z m i* a* w I
zabrzmiały 1.0	z a p S m i* a* w I
zabrzu 1.0	z a* b Z u
zabudowa 1.0	z a b u d o* v a
zabudowane 1.0	z a b u d o v a* n e
zabudowania 1.0	z a b u d o v a* ni a
zabudowaną 1.0	z a b u d o v a* n o m
zabudowaną 1.0	z a b u d o v a* n on
zabudować 1.0	z a b u d o* v a tsi
zabudowy 1.0	z a b u d o* v I
zabudowę 1.0	z a b u d o* v e
zabudowę 1.0	z a b u d o* v en
zaburza 1.0	z a b u* Z a
zaburzają 1.0	z a b u Z a* j o m
zaburzają 1.0	z a b u Z a* j on
zaburzeń 1.0	z a b u* Z e ni
zaburzona 1.0	z a b u Z o* n a
zaburzonego 1.0	z a b u Z o n e* g o
zaburzy 1.0	z a b u* Z I
zaburzył 1.0	z a b u* Z I w
zabytek 1.0	z a b I* t e k
zabytki 1.0	z a b I* t k i
zabytków 1.0	z a b I* t k u f
zabytków 1.0	z a b I* t k u v
zabójca 1.0	z a b u* j ts a
zabójcami 1.0	z a b u j ts a* m i
zabójcy 1.0	z a b u* j ts I
zabójcze 1.0	z a b u* j tS e
zabójczych 1.0	z a b u* j tS I x
zabójczym 1.0	z a b u* j tS I m
zabójczymi 1.0	z a b u j tS I* m i
zabójców 1.0	z a b u* j ts u f
zabójców 1.0	z a b u* j ts u v
zabójstw 1.0	z a* b u j s t f
zabójstwa 1.0	z a b u* j s t f a
zabójstwie 1.0	z a b u* j s t f j e
zabójstwo 1.0	z a b u* j s t f o
zabłysnąć 1.0	z a b w I* s n o ni tsi
zabłysnąć 1.0	z a b w I* s n on tsi
zabłysła 1.0	z a b w I* s w a
zabłąkana 1.0	z a b w o n k a* n a
zabłąkana 1.0	z a b w on k a* n a
zach 1.0	z a* k
zachariew 1.0	z a x a* r j e f
zachariew 1.0	z a x a* r j e v
zachcianki 1.0	z a x tsi i* a* n k i
zachciało 1.0	z a x tsi i* a* w o
zachmurzyć 1.0	z a x m u* Z I tsi
zachodem 1.0	z a x o* d e m
zachodni 1.0	z a x o* d ni i
zachodnia 1.0	z a x o* d ni a
zachodnich 1.0	z a x o* d ni i x
zachodnie 1.0	z a x o* d ni e
zachodniego 1.0	z a x o d ni i* e* g o
zachodniej 1.0	z a x o* d ni e j
zachodnim 1.0	z a x o* d ni i m
zachodnioeuropejskie 1.0	z a x o d ni o e u r o p e* j s k j e
zachodnioeuropejskie 1.0	z a x o d ni o e w r o p e* j s k j e
zachodnioeuropejskiego 1.0	z a x o d ni o e u r o p e j s k i* e* g o
zachodnioeuropejskiego 1.0	z a x o d ni o e w r o p e j s k i* e* g o
zachodniopomorska 1.0	z a x o d ni o p o m o* r s k a
zachodniopomorskiej 1.0	z a x o d ni o p o m o* r s k j e j
zachodniopruskie 1.0	z a x o d ni o p r u* s k j e
zachodniosłowiańskich 1.0	z a x o d ni o s w o v i* a* ni s k i x
zachodnipomorskiej 1.0	z a x o d ni i p o m o* r s k j e j
zachodnią 1.0	z a x o* d ni j o m
zachodnią 1.0	z a x o* d ni j on
zachodnią 1.0	z a x o* d ni o m
zachodnią 1.0	z a x o* d ni on
zachodu 1.0	z a x o* d u
zachodzi 1.0	z a x o* dzi i
zachodzie 1.0	z a x o* dzi e
zachodził 1.0	z a x o* dzi i w
zachodziła 1.0	z a x o dzi i* w a
zachodziłem 1.0	z a x o dzi i* w e m
zachodziło 1.0	z a x o dzi i* w o
zachodzą 1.0	z a x o* dz o m
zachodzą 1.0	z a x o* dz on
zachodzące 1.0	z a x o dz on* ts e
zachodzącego 1.0	z a x o dz o n ts e* g o
zachodzącego 1.0	z a x o dz on ts e* g o
zachodzących 1.0	z a x o dz on* ts I x
zachorowania 1.0	z a x o r o v a* ni a
zachorowanie 1.0	z a x o r o v a* ni e
zachorować 1.0	z a x o r o* v a tsi
zachorował 1.0	z a x o r o* v a w
zachorowałam 1.0	z a x o r o v a* w a m
zachorowań 1.0	z a x o r o* v a ni
zachoruje 1.0	z a x o r u* j e
zachorują 1.0	z a x o r u* j o m
zachorują 1.0	z a x o r u* j on
zachowa 1.0	z a x o* v a
zachowaj 1.0	z a x o* v a j
zachowają 1.0	z a x o v a* j o m
zachowają 1.0	z a x o v a* j on
zachowali 1.0	z a x o v a* l i
zachowam 1.0	z a x o* v a m
zachowana 1.0	z a x o v a* n a
zachowane 1.0	z a x o v a* n e
zachowania 1.0	z a x o v a* ni a
zachowanie 1.0	z a x o v a* ni e
zachowaniem 1.0	z a x o v a* ni e m
zachowaniom 1.0	z a x o v a* ni o m
zachowaniu 1.0	z a x o v a* ni u
zachowawczego 1.0	z a x o v a f tS e* g o
zachowawczego 1.0	z a x o v a v tS e* g o
zachowawczo 1.0	z a x o v a* f tS o
zachowawczo 1.0	z a x o v a* v tS o
zachować 1.0	z a x o* v a tsi
zachował 1.0	z a x o* v a w
zachowała 1.0	z a x o v a* w a
zachowałaś 1.0	z a x o v a* w a si
zachowałem 1.0	z a x o v a* w e m
zachowało 1.0	z a x o v a* w o
zachowały 1.0	z a x o v a* w I
zachowań 1.0	z a x o* v a ni
zachowuje 1.0	z a x o v u* j e
zachowujemy 1.0	z a x o v u j e* m I
zachowujesz 1.0	z a x o v u* j e S
zachowują 1.0	z a x o v u* j o m
zachowują 1.0	z a x o v u* j on
zachowując 1.0	z a x o v u* j o n ts
zachowując 1.0	z a x o v u* j on ts
zachowujących 1.0	z a x o v u j on* ts I x
zachowującymi 1.0	z a x o v u j o n ts I* m i
zachowującymi 1.0	z a x o v u j on ts I* m i
zachowywali 1.0	z a x o v I v a* l i
zachowywane 1.0	z a x o v I v a* n e
zachowywania 1.0	z a x o v I v a* ni a
zachowywać 1.0	z a x o v I* v a tsi
zachowywał 1.0	z a x o v I* v a w
zachowywała 1.0	z a x o v I v a* w a
zachowywały 1.0	z a x o v I v a* w I
zachrobotały 1.0	z a x r o b o t a* w I
zachrypły 1.0	z a x r I* p w I
zachwala 1.0	z a x f a* l a
zachwalali 1.0	z a x f a l a* l i
zachwiania 1.0	z a x f i* a* ni a
zachwiany 1.0	z a x f i* a* n I
zachwiały 1.0	z a x f i* a* w I
zachwycał 1.0	z a x f I* ts a w
zachwycałem 1.0	z a x f I ts a* w e m
zachwycało 1.0	z a x f I ts a* w o
zachwyceni 1.0	z a x f I ts e* ni i
zachwycić 1.0	z a x f I* tsi i tsi
zachwyciła 1.0	z a x f I tsi i* w a
zachwycona 1.0	z a x f I ts o* n a
zachwycony 1.0	z a x f I ts o* n I
zachwyconą 1.0	z a x f I ts o* n o m
zachwyconą 1.0	z a x f I ts o* n on
zachwytem 1.0	z a x f I* t e m
zachwytu 1.0	z a x f I* t u
zachwyty 1.0	z a x f I* t I
zachód 1.0	z a* x u d
zachód 1.0	z a* x u t
zachęca 1.0	z a x en* ts a
zachęcają 1.0	z a x e n ts a* j o m
zachęcają 1.0	z a x e n ts a* j on
zachęcają 1.0	z a x en ts a* j o m
zachęcają 1.0	z a x en ts a* j on
zachęcająco 1.0	z a x e n ts a j on* ts o
zachęcająco 1.0	z a x en ts a j on* ts o
zachęcający 1.0	z a x e n ts a j on* ts I
zachęcający 1.0	z a x en ts a j on* ts I
zachęcających 1.0	z a x e n ts a j on* ts I x
zachęcających 1.0	z a x en ts a j on* ts I x
zachęcającymi 1.0	z a x e n ts a j o n ts I* m i
zachęcającymi 1.0	z a x e n ts a j on ts I* m i
zachęcającymi 1.0	z a x en ts a j o n ts I* m i
zachęcającymi 1.0	z a x en ts a j on ts I* m i
zachęcam 1.0	z a x en* ts a m
zachęcamy 1.0	z a x e n ts a* m I
zachęcamy 1.0	z a x en ts a* m I
zachęcać 1.0	z a x en* ts a tsi
zachęcał 1.0	z a x en* ts a w
zachęcała 1.0	z a x e n ts a* w a
